date,open,high,low,close,volume
2015-06-24,24.440000,24.490000,24.000000,24.060000,21243663
2015-06-25,24.130000,24.240000,23.655000,24.020000,38347834
2015-06-26,20.270000,20.600000,19.430000,19.660000,149010345
2015-06-29,19.340000,19.600000,18.600000,18.730000,49126054
2015-06-30,18.890000,19.100000,18.550000,18.840000,34683928
2015-07-01,19.050000,19.100000,18.630000,18.780000,25027123
2015-07-02,18.830000,19.380000,18.810000,19.070000,26178060
2015-07-06,18.840000,18.980000,18.230000,18.320000,37875804
2015-07-07,18.130000,18.360000,17.370000,18.200000,46293247
2015-07-08,17.960000,17.980000,17.490000,17.630000,30898907
2015-07-09,17.870000,18.010000,17.140000,17.150000,47087077
2015-07-10,17.330000,17.650000,17.150000,17.570000,24282875
2015-07-13,17.830000,17.850000,17.390000,17.610000,35788069
2015-07-14,19.760000,19.840000,19.000000,19.610000,103878597
2015-07-15,19.490000,19.650000,18.770000,18.890000,41983208
2015-07-16,19.250000,19.738800,19.090000,19.610000,34717212
2015-07-17,19.530000,20.240000,19.370000,20.120000,34081329
2015-07-20,20.080000,20.080000,18.775000,18.890000,41989277
2015-07-21,18.840000,19.110000,18.510000,18.880000,29340299
2015-07-22,18.530000,18.630000,17.850000,18.000000,43635067
2015-07-23,18.330000,18.930000,18.300000,18.700000,32805214
2015-07-24,18.600000,18.700000,18.065000,18.340000,21567411
2015-07-27,18.100000,18.670000,17.570000,18.120000,27584063
2015-07-28,18.350000,20.080000,18.200000,19.750000,51809485
2015-07-29,19.980000,20.570000,19.670000,19.870000,41557949
2015-07-30,19.750000,20.100000,19.460000,19.900000,31248653
2015-07-31,20.020000,20.030000,18.470000,18.510000,55074887
2015-08-03,18.610000,19.390000,18.590000,19.000000,32958265
2015-08-04,19.170000,19.190000,18.600000,19.010000,19934519
2015-08-05,19.180000,19.470000,18.880000,18.910000,23370837
2015-08-06,18.930000,18.960000,18.450000,18.720000,29928553
2015-08-07,18.450000,18.530000,18.000000,18.440000,23718250
2015-08-10,18.580000,18.960000,18.320000,18.820000,25232391
2015-08-11,18.630000,18.630000,17.680000,17.880000,22959210
2015-08-12,17.650000,18.331500,17.520000,18.190000,20484514
2015-08-13,18.230000,18.380000,17.670000,17.700000,15468644
2015-08-14,17.760000,17.990000,16.820000,16.950000,37248183
2015-08-17,16.470000,17.260000,16.120000,17.220000,33000954
2015-08-18,17.000000,17.000000,16.270000,16.380000,32424349
2015-08-19,16.240000,16.350000,15.880000,15.900000,36873998
2015-08-20,15.350000,15.370000,14.660000,14.740000,54864211
2015-08-21,14.390000,15.250000,14.240000,14.530000,43715791
2015-08-24,13.810000,15.370000,13.500000,14.440000,54531966
2015-08-25,15.180000,15.340000,14.260000,14.270000,38655096
2015-08-26,14.610000,14.750000,14.110000,14.420000,43819738
2015-08-27,14.630000,15.930000,14.630000,15.670000,42971809
2015-08-28,16.250000,16.540000,15.610000,15.960000,34099384
2015-08-31,15.910000,16.685100,15.460000,16.410000,32916850
2015-09-01,15.800000,16.210000,15.680000,15.820000,27914151
2015-09-02,16.090000,16.310000,15.740000,16.290000,23478540
2015-09-03,16.390000,17.210000,16.255000,16.590000,26377229
2015-09-04,16.300000,17.300000,16.260000,16.820000,32420836
2015-09-08,17.550000,17.750000,17.050000,17.530000,26817016
2015-09-09,17.900000,17.970000,16.840000,16.960000,32951118
2015-09-10,16.810000,17.420000,16.710000,17.200000,20814271
2015-09-11,17.020000,17.170000,16.707200,16.800000,22107586
2015-09-14,16.900000,16.920000,16.360000,16.700000,15178741
2015-09-15,16.860000,16.860000,16.460000,16.520000,21319391
2015-09-16,16.460000,16.705000,16.310000,16.680000,22363222
2015-09-17,16.680000,16.810000,16.310000,16.410000,22827633
2015-09-18,16.080000,16.190000,15.360000,15.500000,36698238
2015-09-21,15.620000,15.980000,15.460000,15.750000,19024495
2015-09-22,15.350000,15.815000,15.170000,15.410000,22763938
2015-09-23,15.430000,15.434500,14.800000,14.810000,22567864
2015-09-24,14.800000,15.520000,14.600000,15.340000,32800793
2015-09-25,15.340000,15.590000,14.650000,14.910000,28917267
2015-09-28,14.670000,14.730000,13.920000,14.060000,30448563
2015-09-29,14.260000,14.690000,14.150000,14.380000,25529152
2015-09-30,14.730000,15.330000,14.700000,14.980000,28066304
2015-10-01,14.990000,15.040000,14.500000,14.770000,37460484
2015-10-02,15.220000,15.950000,15.150000,15.910000,49688212
2015-10-05,16.320000,17.840000,16.200000,17.570000,63718650
2015-10-06,17.630000,18.300000,17.341000,18.220000,52109956
2015-10-07,18.390000,18.922800,18.220000,18.620000,41913528
2015-10-08,18.590000,19.098900,18.450000,18.720000,33619570
2015-10-09,18.630000,18.850000,17.900000,18.160000,23392503
2015-10-12,18.540000,18.630000,17.720000,18.030000,22494695
2015-10-13,17.810000,18.555000,17.740000,18.180000,21778465
2015-10-14,18.770000,19.300000,18.521000,18.820000,34627894
2015-10-15,18.870000,19.150000,18.500000,18.660000,20397672
2015-10-16,18.740000,18.830000,18.230000,18.500000,15587130
2015-10-19,18.370000,19.220000,18.320000,19.160000,27543294
